ID;type;fp_date;fp_time;raceId
140;3;2022-05-07;17:00:00;1078
141;3;2022-05-21;11:00:00;1079
142;3;2022-05-28;11:00:00;1080
143;3;2022-06-11;11:00:00;1081
144;3;2022-06-18;17:00:00;1082
145;3;2022-07-02;11:00:00;1083
146;3;2022-07-23;11:00:00;1085
147;3;2022-07-30;11:00:00;1086
148;3;2022-08-27;11:00:00;1087
149;3;2022-09-03;10:00:00;1088
150;3;2022-09-10;11:00:00;1089
151;3;2022-10-01;10:00:00;1091
152;3;2022-10-08;03:00:00;1092
153;3;2022-10-22;19:00:00;1093
154;3;2022-10-29;17:00:00;1094
155;3;2022-11-19;11:00:00;1096
156;3;2023-03-04;11:30:00;1098
157;3;2023-03-18;13:30:00;1099
158;3;2023-04-01;01:30:00;1100
159;3;2023-05-06;16:30:00;1102
160;3;2023-05-27;10:30:00;1104
161;3;2023-06-03;10:30:00;1105
162;3;2023-06-17;16:30:00;1106
163;3;2023-07-08;10:30:00;1108
164;3;2023-07-22;10:30:00;1109
165;3;2023-08-26;09:30:00;1111
166;3;2023-09-02;10:30:00;1112
167;3;2023-09-16;09:30:00;1113
168;3;2023-09-23;02:30:00;1114
169;3;2023-10-28;17:30:00;1117
170;3;2023-11-17;04:30:00;1119
171;3;2023-11-25;10:30:00;1120
172;3;2024-03-01;12:30:00;1121
173;3;2024-03-08;13:30:00;1122
174;3;2024-03-23;01:30:00;1123
175;3;2024-04-06;02:30:00;1124
176;3;2024-05-18;10:30:00;1127
177;3;2024-05-25;10:30:00;1128
178;3;2024-06-08;16:30:00;1129
179;3;2024-06-22;10:30:00;1130
180;3;2024-07-06;10:30:00;1132
181;3;2024-07-20;10:30:00;1133
182;3;2024-07-27;10:30:00;1134
183;3;2024-08-24;09:30:00;1135
184;3;2024-08-31;10:30:00;1136
185;3;2024-09-14;08:30:00;1137
186;3;2024-09-21;09:30:00;1138
187;3;2024-10-26;17:30:00;1140
188;3;2024-11-22;02:30:00;1142
189;3;2024-12-07;10:30:00;1144
