ID;sprint_date;sprint_time;raceId
1;2022-04-23;14:30:00;1077
2;2022-07-09;14:30:00;1084
3;2022-11-12;19:30:00;1095
4;2023-04-29;13:30:00;1101
5;2023-07-01;14:30:00;1107
6;2023-07-29;14:30:00;1110
7;2023-10-07;17:30:00;1115
8;2023-10-21;22:00:00;1116
9;2023-11-04;18:30:00;1118
10;2024-04-20;03:00:00;1125
11;2024-05-04;16:00:00;1126
12;2024-06-29;10:00:00;1131
13;2024-10-19;18:00:00;1139
14;2024-11-02;14:00:00;1141
15;2024-11-30;13:00:00;1143
