constructorStandingsId;points;position;positionText;wins;constructorId;raceId
25738;1.0;5;5;0;7;36
25737;2.0;4;4;0;3;36
25736;4.0;3;3;0;4;36
25735;5.0;2;2;0;2;36
25753;0.0;9;9;0;5;37
25752;0.0;6;6;0;9;37
25751;0.0;8;8;0;8;37
25750;0.0;7;7;0;11;37
25749;3.0;4;4;0;7;37
25748;2.0;5;5;0;3;37
25747;8.0;3;3;0;4;37
25746;10.0;2;2;0;2;37
25764;0.0;9;9;0;5;38
25763;0.0;6;6;0;9;38
25762;0.0;8;8;0;8;38
25761;0.0;7;7;0;11;38
25760;5.0;4;4;0;7;38
25759;2.0;5;5;0;3;38
25758;9.0;3;3;0;4;38
25757;18.0;2;2;0;2;38
25756;44.0;11;E;1;1;38
25755;39.0;1;1;2;6;38
25775;0.0;10;10;0;5;39
25774;4.0;6;6;0;9;39
25773;1.0;7;7;0;8;39
25772;0.0;8;8;0;11;39
25771;5.0;5;5;0;7;39
25770;5.0;4;4;0;3;39
25769;11.0;3;3;0;4;39
25768;23.0;2;2;0;2;39
25767;58.0;11;E;1;1;39
25786;0.0;8;8;0;5;40
25785;4.0;6;6;0;9;40
25784;1.0;7;7;0;8;40
25783;0.0;9;9;0;11;40
25782;5.0;5;5;0;7;40
25781;7.0;4;4;0;3;40
25780;16.0;3;3;0;4;40
25779;30.0;2;2;0;2;40
25778;76.0;11;E;2;1;40
25797;0.0;8;8;0;5;41
25796;4.0;6;6;0;9;41
25795;4.0;7;7;0;8;41
25794;0.0;9;9;0;11;41
25793;6.0;5;5;0;7;41
25792;13.0;4;4;0;3;41
25791;21.0;3;3;0;4;41
25790;38.0;2;2;0;2;41
25789;88.0;11;E;3;1;41
25808;0.0;8;8;0;5;42
25807;6.0;6;6;0;9;42
25806;4.0;7;7;0;8;42
25805;0.0;9;9;0;11;42
25804;9.0;5;5;0;7;42
25803;13.0;4;4;0;3;42
