id;fastestLap;rank;fastestLapTime;fastestLapSpeed;resultId
189;66;9;1:16.910;214.099;190
190;19;5;1:16.502;215.241;191
191;52;1;1:15.987;216.700;192
192;63;4;1:16.495;215.261;193
193;66;3;1:16.342;215.692;194
194;17;6;1:16.610;214.937;195
195;20;8;1:16.772;214.484;196
196;17;12;1:17.023;213.785;197
197;34;15;1:17.380;212.799;198
198;17;13;1:17.115;213.530;199
199;63;10;1:16.969;213.935;200
200;18;11;1:16.994;213.866;201
201;23;17;1:17.691;211.947;202
202;66;18;1:17.889;211.408;203
203;67;20;1:18.208;210.546;204
204;56;16;1:17.636;212.097;205
205;30;19;1:17.986;211.145;206
206;20;14;1:17.206;213.278;207
207;24;7;1:16.712;214.652;208
208;19;7;1:21.753;192.917;209
209;42;6;1:21.671;193.111;210
210;61;1;1:21.195;194.243;211
211;47;8;1:21.793;192.823;212
212;15;3;1:21.493;193.533;213
213;64;4;1:21.537;193.428;214
214;65;5;1:21.638;193.189;215
215;70;9;1:21.941;192.475;216
216;67;10;1:22.125;192.043;217
217;67;11;1:22.183;191.908;218
218;67;16;1:22.732;190.634;219
219;63;13;1:22.397;191.409;220
220;67;18;1:23.307;189.319;221
221;57;12;1:22.397;191.409;222
222;68;15;1:22.641;190.844;223
223;65;14;1:22.436;191.319;224
224;16;2;1:21.355;193.861;225
225;29;17;1:23.220;189.516;226
226;29;19;1:23.650;188.542;227
227;17;20;1:24.222;187.262;228
228;36;1;1:38.708;197.637;229
229;16;2;1:38.884;197.285;230
230;38;4;1:39.330;196.399;231
231;19;3;1:39.112;196.831;232
232;37;12;1:39.657;195.755;233
233;36;6;1:39.485;196.093;234
234;54;8;1:39.535;195.995;235
235;35;10;1:39.577;195.912;236
236;57;7;1:39.526;196.013;237
237;35;11;1:39.639;195.790;238
238;29;9;1:39.544;195.977;239
239;27;14;1:40.264;194.570;240
240;21;18;1:40.763;193.606;241
241;54;15;1:40.353;194.397;242
242;56;13;1:39.803;195.469;243
243;56;16;1:40.593;193.933;244
244;13;19;1:40.978;193.194;245
245;34;5;1:39.424;196.214;246
246;28;17;1:40.661;193.802;247
248;26;3;1:48.222;232.987;249
249;36;7;1:49.067;231.182;250
250;20;2;1:48.135;233.175;251
251;25;9;1:49.238;230.820;252
252;16;8;1:49.086;231.142;253
253;36;5;1:48.965;231.399;254
254;31;6;1:49.002;231.320;255
255;34;10;1:49.515;230.236;256
256;37;12;1:50.255;228.691;257
257;35;4;1:48.223;232.985;258
258;19;11;1:50.177;228.853;259
259;32;15;1:50.656;227.862;260
260;27;13;1:50.487;228.211;261
261;35;17;1:50.970;227.218;262
262;19;16;1:50.671;227.832;263
263;32;14;1:50.543;228.095;264
264;17;19;1:51.701;225.731;265
265;24;1;1:47.930;233.618;266
266;10;20;1:52.072;224.983;267
267;12;18;1:51.118;226.915;268
268;53;14;1:30.510;230.414;269
269;53;13;1:30.300;230.950;270
270;52;12;1:30.298;230.955;271
271;51;9;1:29.961;231.820;272
272;53;6;1:29.807;232.217;273
273;52;4;1:29.696;232.505;274
274;52;5;1:29.721;232.440;275
